prem_name,contribution_average,squad_depth 
Arsenal, 0.3286634967142671, 0.5956445769050959
Aston Villa, 0.17212701739969744, 0.5972222222222222
Brighton and Hove Albion, 0.18453693313954256, 0.5851224456027136
Burnley, 0.25028906531246287, 0.452546071060003
Chelsea, 0.3119957836059064, 0.5787068004459309
Crystal Palace, 0.22754393616902052, 0.525015124016939
Everton, 0.24427123483878882, 0.5911533816425122
Fulham, 0.19799408994378045, 0.5217391304347826
Leeds United, 0, 0
Leicester City, 0.2519345188616769, 0.5417619047619048
Liverpool, 0.34475083912028487, 0.5290458937198068
Manchester City, 0.3907970985234669, 0.5756575973967278
Manchester United, 0.34170376828846816, 0.5741846818526221
Newcastle United, 0.22648888239809395, 0.5922106481481482
Sheffield United, 0.2802045041302008, 0.56
Southampton, 0.23827767010478337, 0.5858639182168595
Tottenham Hotspur, 0.2609971052456808, 0.6450241545893719
West Bromwich Albion, 0.19619088874220458, 0.5156267104542966
West Ham United, 0.2531094071905994, 0.5725307881773399
Wolverhampton Wanderers, 0.2481376408879966, 0.5343915343915344
